Time,Average Power (mW)
05-10-2024 08:14:32,7628.022522522522
05-10-2024 08:15:02,7652.307692307692
05-10-2024 08:15:32,7678.876712328767
05-10-2024 08:16:02,7681.348623853211
05-10-2024 08:16:32,7651.726027397261
05-10-2024 08:17:02,7631.819004524887
05-10-2024 08:17:32,7697.20814479638
05-10-2024 08:18:02,7650.628959276018
05-10-2024 08:18:32,7666.386363636364
05-10-2024 08:19:02,7677.4908256880735
05-10-2024 08:19:32,7637.707762557077
05-10-2024 08:20:02,7642.220183486239
05-10-2024 08:20:32,7661.131818181818
05-10-2024 08:21:02,7625.663636363636
05-10-2024 08:21:32,7657.470319634704
05-10-2024 08:22:02,7658.342465753424
05-10-2024 08:22:32,7659.009090909091
05-10-2024 08:23:02,7650.0723981900455
05-10-2024 08:23:32,7639.3
05-10-2024 08:24:02,7650.963470319634
05-10-2024 08:24:32,7660.4495412844035
05-10-2024 08:25:02,7682.445454545455
05-10-2024 08:25:32,7663.885844748858
05-10-2024 08:26:02,7633.40990990991
05-10-2024 08:26:32,7682.5158371040725
05-10-2024 08:27:02,7684.395454545454
05-10-2024 08:27:32,7659.468181818182
05-10-2024 08:28:02,7687.122727272727
05-10-2024 08:28:32,7623.881278538813
05-10-2024 08:29:02,7673.063063063063
05-10-2024 08:29:32,7638.459090909091
05-10-2024 08:30:02,7631.343891402715
05-10-2024 08:30:32,7686.145454545454
05-10-2024 08:31:02,7627.958904109589
05-10-2024 08:31:32,7626.986363636363
05-10-2024 08:32:02,7645.178899082569
05-10-2024 08:32:32,7635.099547511312
05-10-2024 08:33:02,7657.912844036698
05-10-2024 08:33:32,7671.477272727273
05-10-2024 08:34:02,7648.336363636364
05-10-2024 08:34:32,7642.722727272727
05-10-2024 08:35:02,7625.963636363636
05-10-2024 08:35:32,7667.799086757991
05-10-2024 08:36:02,7622.862385321101
05-10-2024 08:36:32,7626.036363636364
05-10-2024 08:37:02,7647.058823529412
05-10-2024 08:37:32,7636.666666666667
05-10-2024 08:38:02,7625.954545454545
05-10-2024 08:38:32,7666.968325791855
05-10-2024 08:39:02,7649.118721461187
05-10-2024 08:39:32,7631.959090909091
05-10-2024 08:40:02,7649.123287671233
05-10-2024 08:40:32,7646.122171945702
05-10-2024 08:41:02,7622.940639269406
05-10-2024 08:41:32,7639.8493150684935
05-10-2024 08:42:02,7647.941176470588
05-10-2024 08:42:32,7649.368181818182
05-10-2024 08:43:02,7641.347031963471
05-10-2024 08:43:32,7623.840909090909
05-10-2024 08:44:02,7620.407239819005
05-10-2024 08:44:32,7651.940092165899
05-10-2024 08:45:02,7623.0
05-10-2024 08:45:32,7644.245454545455
05-10-2024 08:46:02,7626.470319634704
05-10-2024 08:46:32,7656.663636363636
05-10-2024 08:47:02,7635.481651376147
05-10-2024 08:47:32,7646.393665158371
05-10-2024 08:48:02,7636.886363636364
05-10-2024 08:48:32,7669.285067873303
05-10-2024 08:49:02,7632.458333333333
05-10-2024 08:49:32,7643.1278538812785
05-10-2024 08:50:02,7633.281818181818
05-10-2024 08:50:32,7653.858447488585
05-10-2024 08:51:02,7657.392694063927
05-10-2024 08:51:32,7640.2342342342345
05-10-2024 08:52:02,7627.614678899083
05-10-2024 08:52:32,7639.713636363636
05-10-2024 08:53:02,7636.771689497717
05-10-2024 08:53:32,7614.427927927928
05-10-2024 08:54:02,7631.944700460829
05-10-2024 08:54:32,7648.252252252252
05-10-2024 08:55:02,7609.223744292238
05-10-2024 08:55:32,7646.2100456621
05-10-2024 08:56:02,7626.5
05-10-2024 08:56:32,7652.122727272727
05-10-2024 08:57:02,7608.181818181818
05-10-2024 08:57:32,7611.069124423963
05-10-2024 08:58:02,7622.309090909091
05-10-2024 08:58:32,7624.807339449541
05-10-2024 08:59:02,7607.710407239819
05-10-2024 08:59:32,7619.986363636363
05-10-2024 09:00:02,7612.62443438914
05-10-2024 09:00:32,7617.92694063927
05-10-2024 09:01:02,7615.339366515837
05-10-2024 09:01:32,7643.559090909091
05-10-2024 09:02:02,7639.25
05-10-2024 09:02:32,7621.995433789954
05-10-2024 09:03:02,7634.588235294118
05-10-2024 09:03:32,7616.619266055046
05-10-2024 09:04:02,7610.260273972603
05-10-2024 09:04:32,7607.6940639269405
05-10-2024 09:05:02,7606.213636363636
05-10-2024 09:05:32,7611.159090909091
05-10-2024 09:06:02,7605.331818181819
05-10-2024 09:06:32,7620.340807174888
05-10-2024 09:07:02,7613.746606334842
05-10-2024 09:07:32,7621.912844036698
05-10-2024 09:08:02,7625.1621621621625
